TIPO;COD_SAP_MATERIAL;MATERIAL;NOME_COMERCIAL;SALDO;FABRICANTE;STATUS_PORTFOLIO;CHIP_COMPATIVEL;TECNOLOGIA;CD;PREVISAO_W1;PREVISAO_W2;PREVISAO_W3;PREVISAO_W4;PREVISAO_W5;VALORATE10X;VALORATE24X;SEGMENTO;TIPO_MATERIAL
Smartphone;DGAP26913000;APPLE IPHONE 17 256GB AZ;SmartPhone Apple iPhone 17 256GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;7090;8232;PREÇO UNIFICADO;Aparelho
;DGAP26923000;APPLE IPHONE 17 256GB BR;SmartPhone Apple iPhone 17 256GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;7090;8232;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP26923000;APPLE IPHONE 17 256GB BR;SmartPhone Apple iPhone 17 256GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;7090;8232;PREÇO UNIFICADO;Aparelho
;DGAP269R3000;APPLE IPHONE 17 256GB LL;SmartPhone Apple iPhone 17 256GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;7090;8232;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP269R3000;APPLE IPHONE 17 256GB LL;SmartPhone Apple iPhone 17 256GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;7090;8232;PREÇO UNIFICADO;Aparelho
;DGAP26962000;APPLE IPHONE 17 256GB N PT;SmartPhone Apple iPhone 17 256GB - 5G;16;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;7090;8232;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP26962000;APPLE IPHONE 17 256GB N PT;SmartPhone Apple iPhone 17 256GB - 5G;16;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;7090;8232;PREÇO UNIFICADO;Aparelho
;DGAP26962000;APPLE IPHONE 17 256GB N PT;SmartPhone Apple iPhone 17 256GB - 5G;79;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;7090;8232;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP26962000;APPLE IPHONE 17 256GB N PT;SmartPhone Apple iPhone 17 256GB - 5G;79;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;7090;8232;PREÇO UNIFICADO;Aparelho
;DGAP26963000;APPLE IPHONE 17 256GB PT;SmartPhone Apple iPhone 17 256GB - 5G;0;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;7090;8232;PREÇO UNIFICADO;Aparelho
